index_cluster,min_value_KRA_PREC_100m_chanel_0,max_value_KRA_PREC_100m_chanel_0,mean_value_KRA_PREC_100m_chanel_0,min_value_KRA_PREC_100m_chanel_1,max_value_KRA_PREC_100m_chanel_1,mean_value_KRA_PREC_100m_chanel_1,min_value_KRA_PREC_100m_chanel_2,max_value_KRA_PREC_100m_chanel_2,mean_value_KRA_PREC_100m_chanel_2,min_value_KRA_PREC_100m_chanel_3,max_value_KRA_PREC_100m_chanel_3,mean_value_KRA_PREC_100m_chanel_3,min_value_KRA_PREC_100m_chanel_4,max_value_KRA_PREC_100m_chanel_4,mean_value_KRA_PREC_100m_chanel_4,min_value_KRA_PREC_100m_chanel_5,max_value_KRA_PREC_100m_chanel_5,mean_value_KRA_PREC_100m_chanel_5,min_value_KRA_PREC_100m_chanel_6,max_value_KRA_PREC_100m_chanel_6,mean_value_KRA_PREC_100m_chanel_6,min_value_KRA_PREC_100m_chanel_7,max_value_KRA_PREC_100m_chanel_7,mean_value_KRA_PREC_100m_chanel_7,min_value_KRA_PREC_100m_chanel_8,max_value_KRA_PREC_100m_chanel_8,mean_value_KRA_PREC_100m_chanel_8,min_value_KRA_PREC_100m_chanel_9,max_value_KRA_PREC_100m_chanel_9,mean_value_KRA_PREC_100m_chanel_9,min_value_KRA_PREC_100m_chanel_10,max_value_KRA_PREC_100m_chanel_10,mean_value_KRA_PREC_100m_chanel_10,min_value_KRA_PREC_100m_chanel_11,max_value_KRA_PREC_100m_chanel_11,mean_value_KRA_PREC_100m_chanel_11,min_value_KRA_RELIEF_ASPECT_100m,max_value_KRA_RELIEF_ASPECT_100m,mean_value_KRA_RELIEF_ASPECT_100m,min_value_KRA_RELIEF_HEIGHT_100m,max_value_KRA_RELIEF_HEIGHT_100m,mean_value_KRA_RELIEF_HEIGHT_100m,min_value_KRA_RELIEF_SLOPE_100m,max_value_KRA_RELIEF_SLOPE_100m,mean_value_KRA_RELIEF_SLOPE_100m,Unnamed: 0,count_of_0.0,count_of_1.0,count_of_2.0,count_of_3.0,count_of_4.0,count_of_5.0,count_of_6.0,count_of_7.0,count_of_8.0,count_of_9.0,min_value_KRA_SUNNY_DAYS_APR_OCT_100m,max_value_KRA_SUNNY_DAYS_APR_OCT_100m,mean_value_KRA_SUNNY_DAYS_APR_OCT_100m,min_value_KRA_TAVG_100m_chanel_0,max_value_KRA_TAVG_100m_chanel_0,mean_value_KRA_TAVG_100m_chanel_0,min_value_KRA_TAVG_100m_chanel_1,max_value_KRA_TAVG_100m_chanel_1,mean_value_KRA_TAVG_100m_chanel_1,min_value_KRA_TAVG_100m_chanel_2,max_value_KRA_TAVG_100m_chanel_2,mean_value_KRA_TAVG_100m_chanel_2,min_value_KRA_TAVG_100m_chanel_3,max_value_KRA_TAVG_100m_chanel_3,mean_value_KRA_TAVG_100m_chanel_3,min_value_KRA_TAVG_100m_chanel_4,max_value_KRA_TAVG_100m_chanel_4,mean_value_KRA_TAVG_100m_chanel_4,min_value_KRA_TAVG_100m_chanel_5,max_value_KRA_TAVG_100m_chanel_5,mean_value_KRA_TAVG_100m_chanel_5,min_value_KRA_TAVG_100m_chanel_6,max_value_KRA_TAVG_100m_chanel_6,mean_value_KRA_TAVG_100m_chanel_6,min_value_KRA_TAVG_100m_chanel_7,max_value_KRA_TAVG_100m_chanel_7,mean_value_KRA_TAVG_100m_chanel_7,min_value_KRA_TAVG_100m_chanel_8,max_value_KRA_TAVG_100m_chanel_8,mean_value_KRA_TAVG_100m_chanel_8,min_value_KRA_TAVG_100m_chanel_9,max_value_KRA_TAVG_100m_chanel_9,mean_value_KRA_TAVG_100m_chanel_9,min_value_KRA_TAVG_100m_chanel_10,max_value_KRA_TAVG_100m_chanel_10,mean_value_KRA_TAVG_100m_chanel_10,min_value_KRA_TAVG_100m_chanel_11,max_value_KRA_TAVG_100m_chanel_11,mean_value_KRA_TAVG_100m_chanel_11,min_value_KRA_TMAX_100m_chanel_0,max_value_KRA_TMAX_100m_chanel_0,mean_value_KRA_TMAX_100m_chanel_0,min_value_KRA_TMAX_100m_chanel_1,max_value_KRA_TMAX_100m_chanel_1,mean_value_KRA_TMAX_100m_chanel_1,min_value_KRA_TMAX_100m_chanel_2,max_value_KRA_TMAX_100m_chanel_2,mean_value_KRA_TMAX_100m_chanel_2,min_value_KRA_TMAX_100m_chanel_3,max_value_KRA_TMAX_100m_chanel_3,mean_value_KRA_TMAX_100m_chanel_3,min_value_KRA_TMAX_100m_chanel_4,max_value_KRA_TMAX_100m_chanel_4,mean_value_KRA_TMAX_100m_chanel_4,min_value_KRA_TMAX_100m_chanel_5,max_value_KRA_TMAX_100m_chanel_5,mean_value_KRA_TMAX_100m_chanel_5,min_value_KRA_TMAX_100m_chanel_6,max_value_KRA_TMAX_100m_chanel_6,mean_value_KRA_TMAX_100m_chanel_6,min_value_KRA_TMAX_100m_chanel_7,max_value_KRA_TMAX_100m_chanel_7,mean_value_KRA_TMAX_100m_chanel_7,min_value_KRA_TMAX_100m_chanel_8,max_value_KRA_TMAX_100m_chanel_8,mean_value_KRA_TMAX_100m_chanel_8,min_value_KRA_TMAX_100m_chanel_9,max_value_KRA_TMAX_100m_chanel_9,mean_value_KRA_TMAX_100m_chanel_9,min_value_KRA_TMAX_100m_chanel_10,max_value_KRA_TMAX_100m_chanel_10,mean_value_KRA_TMAX_100m_chanel_10,min_value_KRA_TMAX_100m_chanel_11,max_value_KRA_TMAX_100m_chanel_11,mean_value_KRA_TMAX_100m_chanel_11,min_value_KRA_TMIN_100m_chanel_0,max_value_KRA_TMIN_100m_chanel_0,mean_value_KRA_TMIN_100m_chanel_0,min_value_KRA_TMIN_100m_chanel_1,max_value_KRA_TMIN_100m_chanel_1,mean_value_KRA_TMIN_100m_chanel_1,min_value_KRA_TMIN_100m_chanel_2,max_value_KRA_TMIN_100m_chanel_2,mean_value_KRA_TMIN_100m_chanel_2,min_value_KRA_TMIN_100m_chanel_3,max_value_KRA_TMIN_100m_chanel_3,mean_value_KRA_TMIN_100m_chanel_3,min_value_KRA_TMIN_100m_chanel_4,max_value_KRA_TMIN_100m_chanel_4,mean_value_KRA_TMIN_100m_chanel_4,min_value_KRA_TMIN_100m_chanel_5,max_value_KRA_TMIN_100m_chanel_5,mean_value_KRA_TMIN_100m_chanel_5,min_value_KRA_TMIN_100m_chanel_6,max_value_KRA_TMIN_100m_chanel_6,mean_value_KRA_TMIN_100m_chanel_6,min_value_KRA_TMIN_100m_chanel_7,max_value_KRA_TMIN_100m_chanel_7,mean_value_KRA_TMIN_100m_chanel_7,min_value_KRA_TMIN_100m_chanel_8,max_value_KRA_TMIN_100m_chanel_8,mean_value_KRA_TMIN_100m_chanel_8,min_value_KRA_TMIN_100m_chanel_9,max_value_KRA_TMIN_100m_chanel_9,mean_value_KRA_TMIN_100m_chanel_9,min_value_KRA_TMIN_100m_chanel_10,max_value_KRA_TMIN_100m_chanel_10,mean_value_KRA_TMIN_100m_chanel_10,min_value_KRA_TMIN_100m_chanel_11,max_value_KRA_TMIN_100m_chanel_11,mean_value_KRA_TMIN_100m_chanel_11,min_value_KRA_WATER_SEASONALYTY_100m,max_value_KRA_WATER_SEASONALYTY_100m,mean_value_KRA_WATER_SEASONALYTY_100m
0,48.0,48.0,48.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,48.0,48.0,48.0,56.0,56.0,56.0,55.0,55.0,55.0,50.0,50.0,50.0,48.0,48.0,48.0,41.0,41.0,41.0,49.0,49.0,49.0,62.0,62.0,62.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,0,0,132.0,132.0,132.0,-11.0,-11.0,-11.0,-6.0,-6.0,-6.0,39.0,39.0,39.0,117.0,117.0,117.0,169.0,169.0,169.0,212.0,212.0,212.0,236.0,236.0,236.0,227.0,227.0,227.0,176.0,176.0,176.0,114.0,114.0,114.0,49.0,49.0,49.0,11.0,11.0,11.0,15.0,15.0,15.0,72.0,72.0,72.0,113.0,113.0,113.0,154.0,154.0,154.0,207.0,207.0,207.0,249.0,249.0,249.0,273.0,273.0,273.0,265.0,265.0,265.0,215.0,215.0,215.0,149.0,149.0,149.0,77.0,77.0,77.0,37.0,37.0,37.0,-37.0,-37.0,-37.0,-35.0,-35.0,-35.0,6.0,6.0,6.0,79.0,79.0,79.0,131.0,131.0,131.0,175.0,176.0,175.1666717529297,200.0,200.0,200.0,188.0,188.0,188.0,138.0,138.0,138.0,78.0,78.0,78.0,22.0,22.0,22.0,-15.0,-14.0,-14.833333015441896,0.0,0.0,0.0
1,49.0,49.0,49.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,39.66666793823242,48.0,48.0,48.0,56.0,57.0,56.83333206176758,55.0,55.0,55.0,50.0,50.0,50.0,48.0,48.0,48.0,41.0,41.0,41.0,50.0,50.0,50.0,63.0,63.0,63.0,-99999.0,-99999.0,-99999.0,1.0,2.0,1.1666666269302368,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,6,132.0,132.0,132.0,-11.0,-11.0,-11.0,-6.0,-6.0,-6.0,39.0,39.0,39.0,117.0,117.0,117.0,169.0,169.0,169.0,212.0,212.0,212.0,236.0,236.0,236.0,226.0,226.0,226.0,176.0,176.0,176.0,113.0,113.0,113.0,49.0,49.0,49.0,11.0,11.0,11.0,15.0,15.0,15.0,72.0,72.0,72.0,113.0,113.0,113.0,154.0,154.0,154.0,207.0,207.0,207.0,248.0,248.0,248.0,272.0,272.0,272.0,265.0,265.0,265.0,215.0,215.0,215.0,149.0,149.0,149.0,77.0,77.0,77.0,37.0,37.0,37.0,-37.0,-37.0,-37.0,-35.0,-35.0,-35.0,6.0,6.0,6.0,79.0,79.0,79.0,131.0,131.0,131.0,175.0,175.0,175.0,200.0,200.0,200.0,188.0,188.0,188.0,138.0,138.0,138.0,78.0,78.0,78.0,22.0,22.0,22.0,-15.0,-14.0,-14.833333015441896,0.0,0.0,0.0
2,49.0,49.0,49.0,40.0,40.0,40.0,40.0,41.0,40.42856979370117,39.0,40.0,39.85714340209961,48.0,48.0,48.0,58.0,58.0,58.0,56.0,56.0,56.0,50.0,50.0,50.0,46.0,47.0,46.14285659790039,40.0,40.0,40.0,50.0,50.0,50.0,62.0,62.0,62.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,2,7,0,0,0,0,0,0,0,0,0,129.0,129.0,129.0,-13.0,-13.0,-13.0,-7.0,-7.0,-7.0,39.0,39.0,39.0,117.0,117.0,117.0,168.0,168.0,168.0,211.0,211.0,211.0,236.0,236.0,236.0,226.0,226.0,226.0,175.0,175.0,175.0,112.0,112.0,112.0,48.0,48.0,48.0,8.0,8.0,8.0,16.0,16.0,16.0,76.0,76.0,76.0,118.0,118.0,118.0,159.0,160.0,159.42857360839844,212.0,213.0,212.42857360839844,253.0,253.0,253.0,278.0,278.0,278.0,271.0,271.0,271.0,220.0,220.0,220.0,153.0,153.0,153.0,79.0,79.0,79.0,37.0,37.0,37.0,-42.0,-42.0,-42.0,-39.0,-39.0,-39.0,2.0,2.0,2.0,74.0,74.0,74.0,124.0,124.0,124.0,169.0,169.0,169.0,194.0,194.0,194.0,181.0,181.0,181.0,131.0,131.0,131.0,70.0,70.0,70.0,17.0,17.0,17.0,-20.0,-20.0,-20.0,0.0,0.0,0.0
3,49.0,49.0,49.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,48.0,48.0,48.0,57.0,57.0,57.0,55.0,55.0,55.0,50.0,50.0,50.0,48.0,48.0,48.0,41.0,41.0,41.0,50.0,50.0,50.0,62.0,63.0,62.16666793823242,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,6,132.0,132.0,132.0,-11.0,-11.0,-11.0,-5.0,-5.0,-5.0,39.0,39.0,39.0,117.0,117.0,117.0,169.0,169.0,169.0,212.0,212.0,212.0,236.0,236.0,236.0,227.0,227.0,227.0,176.0,176.0,176.0,113.0,113.0,113.0,50.0,50.0,50.0,11.0,11.0,11.0,16.0,16.0,16.0,73.0,74.0,73.83333587646484,114.0,115.0,114.83333587646484,155.0,155.0,155.0,208.0,208.0,208.0,249.0,249.0,249.0,273.0,273.0,273.0,266.0,266.0,266.0,216.0,216.0,216.0,150.0,150.0,150.0,78.0,78.0,78.0,38.0,38.0,38.0,-38.0,-38.0,-38.0,-36.0,-36.0,-36.0,5.0,5.0,5.0,78.0,78.0,78.0,130.0,130.0,130.0,174.0,175.0,174.8333282470703,199.0,199.0,199.0,187.0,187.0,187.0,136.0,137.0,136.8333282470703,77.0,77.0,77.0,21.0,21.0,21.0,-15.0,-15.0,-15.0,0.0,0.0,0.0
4,49.0,49.0,49.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,39.0,38.57143020629883,48.0,48.0,48.0,57.0,57.0,57.0,55.0,55.0,55.0,50.0,50.0,50.0,47.0,47.0,47.0,41.0,41.0,41.0,50.0,50.0,50.0,63.0,63.0,63.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,4,7,0,0,0,0,0,0,0,0,0,132.0,132.0,132.0,-11.0,-11.0,-11.0,-6.0,-6.0,-6.0,39.0,39.0,39.0,116.0,116.0,116.0,169.0,169.0,169.0,212.0,212.0,212.0,236.0,236.0,236.0,226.0,226.0,226.0,176.0,176.0,176.0,113.0,113.0,113.0,49.0,49.0,49.0,11.0,11.0,11.0,15.0,15.0,15.0,72.0,72.0,72.0,113.0,113.0,113.0,154.0,154.0,154.0,207.0,207.0,207.0,248.0,248.0,248.0,272.0,272.0,272.0,264.0,264.0,264.0,214.0,214.0,214.0,148.0,148.0,148.0,77.0,77.0,77.0,37.0,37.0,37.0,-37.0,-37.0,-37.0,-35.0,-35.0,-35.0,6.0,6.0,6.0,79.0,79.0,79.0,131.0,131.0,131.0,175.0,175.0,175.0,199.0,199.0,199.0,188.0,188.0,188.0,138.0,138.0,138.0,78.0,78.0,78.0,22.0,22.0,22.0,-15.0,-15.0,-15.0,0.0,0.0,0.0
5,49.0,49.0,49.0,40.0,40.0,40.0,39.0,40.0,39.66666793823242,39.0,39.0,39.0,48.0,48.0,48.0,57.0,57.0,57.0,54.0,54.0,54.0,49.0,49.0,49.0,48.0,48.0,48.0,41.0,41.0,41.0,49.0,49.0,49.0,62.0,62.0,62.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,5,6,0,0,0,0,0,0,0,0,0,133.0,133.0,133.0,-11.0,-11.0,-11.0,-5.0,-5.0,-5.0,39.0,39.0,39.0,117.0,117.0,117.0,169.0,169.0,169.0,212.0,212.0,212.0,236.0,236.0,236.0,226.0,226.0,226.0,176.0,176.0,176.0,113.0,113.0,113.0,50.0,50.0,50.0,11.0,11.0,11.0,16.0,16.0,16.0,74.0,74.0,74.0,115.0,115.0,115.0,156.0,156.0,156.0,208.0,208.0,208.0,249.0,249.0,249.0,274.0,274.0,274.0,266.0,266.0,266.0,216.0,216.0,216.0,151.0,151.0,151.0,78.0,78.0,78.0,38.0,38.0,38.0,-38.0,-38.0,-38.0,-36.0,-36.0,-36.0,5.0,5.0,5.0,78.0,78.0,78.0,129.0,129.0,129.0,174.0,174.0,174.0,198.0,198.0,198.0,187.0,187.0,187.0,136.0,136.0,136.0,76.0,76.0,76.0,21.0,21.0,21.0,-15.0,-15.0,-15.0,0.0,0.0,0.0
6,49.0,49.0,49.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,47.0,47.0,47.0,57.0,57.0,57.0,54.0,54.0,54.0,49.0,49.0,49.0,48.0,48.0,48.0,41.0,41.0,41.0,49.0,49.0,49.0,62.0,62.0,62.0,-99999.0,-99999.0,-99999.0,1.0,2.0,1.1666666269302368,0.0,0.0,0.0,6,6,0,0,0,0,0,0,0,0,0,132.0,132.0,132.0,-11.0,-11.0,-11.0,-5.0,-5.0,-5.0,39.0,39.0,39.0,117.0,117.0,117.0,169.0,169.0,169.0,212.0,212.0,212.0,236.0,236.0,236.0,226.0,226.0,226.0,176.0,176.0,176.0,113.0,113.0,113.0,50.0,50.0,50.0,11.0,11.0,11.0,16.0,16.0,16.0,74.0,74.0,74.0,115.0,115.0,115.0,156.0,156.0,156.0,208.0,208.0,208.0,249.0,249.0,249.0,274.0,274.0,274.0,266.0,266.0,266.0,216.0,216.0,216.0,150.0,150.0,150.0,78.0,78.0,78.0,38.0,38.0,38.0,-38.0,-38.0,-38.0,-36.0,-36.0,-36.0,5.0,5.0,5.0,78.0,78.0,78.0,129.0,129.0,129.0,174.0,174.0,174.0,198.0,198.0,198.0,187.0,187.0,187.0,136.0,136.0,136.0,76.0,77.0,76.16666412353516,21.0,21.0,21.0,-15.0,-15.0,-15.0,0.0,0.0,0.0
7,49.0,49.0,49.0,40.0,40.0,40.0,39.0,40.0,39.79999923706055,38.0,39.0,38.29999923706055,47.0,48.0,47.29999923706055,57.0,57.0,57.0,54.0,55.0,54.70000076293945,50.0,50.0,50.0,47.0,48.0,47.09999847412109,41.0,41.0,41.0,49.0,50.0,49.5,62.0,63.0,62.29999923706055,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,7,10,0,0,0,0,0,0,0,0,0,132.0,132.0,132.0,-11.0,-11.0,-11.0,-5.0,-5.0,-5.0,39.0,39.0,39.0,117.0,117.0,117.0,169.0,169.0,169.0,212.0,212.0,212.0,236.0,236.0,236.0,226.0,226.0,226.0,176.0,176.0,176.0,113.0,113.0,113.0,49.0,49.0,49.0,11.0,11.0,11.0,16.0,16.0,16.0,73.0,74.0,73.30000305175781,114.0,115.0,114.3000030517578,155.0,156.0,155.3000030517578,208.0,208.0,208.0,249.0,249.0,249.0,273.0,273.0,273.0,265.0,266.0,265.29998779296875,215.0,216.0,215.3000030517578,149.0,150.0,149.89999389648438,77.0,78.0,77.9000015258789,37.0,38.0,37.900001525878906,-38.0,-38.0,-38.0,-36.0,-36.0,-36.0,5.0,5.0,5.0,78.0,78.0,78.0,129.0,130.0,129.6999969482422,174.0,175.0,174.39999389648438,198.0,199.0,198.8000030517578,187.0,187.0,187.0,136.0,137.0,136.60000610351562,76.0,77.0,76.80000305175781,21.0,21.0,21.0,-15.0,-15.0,-15.0,0.0,0.0,0.0
8,48.0,48.0,48.0,39.0,39.0,39.0,38.0,39.0,38.42856979370117,36.0,36.0,36.0,45.0,46.0,45.42856979370117,56.0,56.0,56.0,53.0,53.0,53.0,49.0,49.0,49.0,47.0,47.0,47.0,39.0,40.0,39.14285659790039,49.0,49.0,49.0,61.0,61.0,61.0,90.0,90.0,90.0,1.0,1.0,1.0,0.2864765226840973,0.5729386806488037,0.4501692354679107,8,7,0,0,0,0,0,0,0,0,0,133.0,133.0,133.0,-9.0,-9.0,-9.0,-3.0,-3.0,-3.0,39.0,39.0,39.0,115.0,116.0,115.42857360839844,167.0,167.0,167.0,210.0,211.0,210.5714263916016,235.0,235.0,235.0,226.0,226.0,226.0,176.0,176.0,176.0,114.0,114.0,114.0,51.0,51.0,51.0,13.0,13.0,13.0,19.0,19.0,19.0,73.0,74.0,73.85713958740234,114.0,114.0,114.0,154.0,154.0,154.0,207.0,207.0,207.0,250.0,250.0,250.0,274.0,274.0,274.0,267.0,267.0,267.0,218.0,218.0,218.0,152.0,153.0,152.85714721679688,80.0,81.0,80.85713958740234,40.0,41.0,40.85714340209961,-36.0,-36.0,-36.0,-35.0,-35.0,-35.0,5.0,5.0,5.0,77.0,77.0,77.0,127.0,127.0,127.0,171.0,172.0,171.57142639160156,196.0,197.0,196.5714263916016,184.0,185.0,184.5714263916016,134.0,134.0,134.0,75.0,75.0,75.0,21.0,21.0,21.0,-14.0,-13.0,-13.857142448425291,0.0,0.0,0.0
9,49.0,49.0,49.0,40.0,40.0,40.0,39.0,40.0,39.71428680419922,38.0,38.0,38.0,47.0,47.0,47.0,57.0,57.0,57.0,54.0,55.0,54.42856979370117,50.0,50.0,50.0,47.0,47.0,47.0,41.0,42.0,41.57143020629883,49.0,50.0,49.42856979370117,62.0,62.0,62.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,9,7,0,0,0,0,0,0,0,0,0,132.0,132.0,132.0,-11.0,-11.0,-11.0,-5.0,-5.0,-5.0,39.0,39.0,39.0,117.0,117.0,117.0,169.0,169.0,169.0,211.0,211.0,211.0,236.0,236.0,236.0,226.0,226.0,226.0,176.0,176.0,176.0,113.0,113.0,113.0,49.0,49.0,49.0,11.0,11.0,11.0,16.0,16.0,16.0,73.0,74.0,73.57142639160156,114.0,115.0,114.57142639160156,155.0,156.0,155.57142639160156,208.0,208.0,208.0,249.0,249.0,249.0,273.0,273.0,273.0,265.0,266.0,265.5714416503906,215.0,216.0,215.5714263916016,150.0,150.0,150.0,78.0,78.0,78.0,38.0,38.0,38.0,-38.0,-38.0,-38.0,-36.0,-36.0,-36.0,5.0,5.0,5.0,78.0,78.0,78.0,129.0,130.0,129.42857360839844,174.0,174.0,174.0,198.0,199.0,198.42857360839844,186.0,187.0,186.42857360839844,136.0,136.0,136.0,76.0,77.0,76.42857360839844,21.0,21.0,21.0,-15.0,-15.0,-15.0,0.0,0.0,0.0
