,Unnamed: 0.1,index_cluster,min_value_KRA_PREC_100m_chanel_0,max_value_KRA_PREC_100m_chanel_0,mean_value_KRA_PREC_100m_chanel_0,min_value_KRA_PREC_100m_chanel_1,max_value_KRA_PREC_100m_chanel_1,mean_value_KRA_PREC_100m_chanel_1,min_value_KRA_PREC_100m_chanel_2,max_value_KRA_PREC_100m_chanel_2,mean_value_KRA_PREC_100m_chanel_2,min_value_KRA_PREC_100m_chanel_3,max_value_KRA_PREC_100m_chanel_3,mean_value_KRA_PREC_100m_chanel_3,min_value_KRA_PREC_100m_chanel_4,max_value_KRA_PREC_100m_chanel_4,mean_value_KRA_PREC_100m_chanel_4,min_value_KRA_PREC_100m_chanel_5,max_value_KRA_PREC_100m_chanel_5,mean_value_KRA_PREC_100m_chanel_5,min_value_KRA_PREC_100m_chanel_6,max_value_KRA_PREC_100m_chanel_6,mean_value_KRA_PREC_100m_chanel_6,min_value_KRA_PREC_100m_chanel_7,max_value_KRA_PREC_100m_chanel_7,mean_value_KRA_PREC_100m_chanel_7,min_value_KRA_PREC_100m_chanel_8,max_value_KRA_PREC_100m_chanel_8,mean_value_KRA_PREC_100m_chanel_8,min_value_KRA_PREC_100m_chanel_9,max_value_KRA_PREC_100m_chanel_9,mean_value_KRA_PREC_100m_chanel_9,min_value_KRA_PREC_100m_chanel_10,max_value_KRA_PREC_100m_chanel_10,mean_value_KRA_PREC_100m_chanel_10,min_value_KRA_PREC_100m_chanel_11,max_value_KRA_PREC_100m_chanel_11,mean_value_KRA_PREC_100m_chanel_11,min_value_KRA_RELIEF_ASPECT_100m,max_value_KRA_RELIEF_ASPECT_100m,mean_value_KRA_RELIEF_ASPECT_100m,min_value_KRA_RELIEF_HEIGHT_100m,max_value_KRA_RELIEF_HEIGHT_100m,mean_value_KRA_RELIEF_HEIGHT_100m,min_value_KRA_RELIEF_SLOPE_100m,max_value_KRA_RELIEF_SLOPE_100m,mean_value_KRA_RELIEF_SLOPE_100m,Unnamed: 0,count_of_0.0,count_of_1.0,count_of_2.0,count_of_3.0,count_of_4.0,count_of_5.0,count_of_6.0,count_of_7.0,count_of_8.0,count_of_9.0,min_value_KRA_SUNNY_DAYS_APR_OCT_100m,max_value_KRA_SUNNY_DAYS_APR_OCT_100m,mean_value_KRA_SUNNY_DAYS_APR_OCT_100m,min_value_KRA_TAVG_100m_chanel_0,max_value_KRA_TAVG_100m_chanel_0,mean_value_KRA_TAVG_100m_chanel_0,min_value_KRA_TAVG_100m_chanel_1,max_value_KRA_TAVG_100m_chanel_1,mean_value_KRA_TAVG_100m_chanel_1,min_value_KRA_TAVG_100m_chanel_2,max_value_KRA_TAVG_100m_chanel_2,mean_value_KRA_TAVG_100m_chanel_2,min_value_KRA_TAVG_100m_chanel_3,max_value_KRA_TAVG_100m_chanel_3,mean_value_KRA_TAVG_100m_chanel_3,min_value_KRA_TAVG_100m_chanel_4,max_value_KRA_TAVG_100m_chanel_4,mean_value_KRA_TAVG_100m_chanel_4,min_value_KRA_TAVG_100m_chanel_5,max_value_KRA_TAVG_100m_chanel_5,mean_value_KRA_TAVG_100m_chanel_5,min_value_KRA_TAVG_100m_chanel_6,max_value_KRA_TAVG_100m_chanel_6,mean_value_KRA_TAVG_100m_chanel_6,min_value_KRA_TAVG_100m_chanel_7,max_value_KRA_TAVG_100m_chanel_7,mean_value_KRA_TAVG_100m_chanel_7,min_value_KRA_TAVG_100m_chanel_8,max_value_KRA_TAVG_100m_chanel_8,mean_value_KRA_TAVG_100m_chanel_8,min_value_KRA_TAVG_100m_chanel_9,max_value_KRA_TAVG_100m_chanel_9,mean_value_KRA_TAVG_100m_chanel_9,min_value_KRA_TAVG_100m_chanel_10,max_value_KRA_TAVG_100m_chanel_10,mean_value_KRA_TAVG_100m_chanel_10,min_value_KRA_TAVG_100m_chanel_11,max_value_KRA_TAVG_100m_chanel_11,mean_value_KRA_TAVG_100m_chanel_11,min_value_KRA_TMAX_100m_chanel_0,max_value_KRA_TMAX_100m_chanel_0,mean_value_KRA_TMAX_100m_chanel_0,min_value_KRA_TMAX_100m_chanel_1,max_value_KRA_TMAX_100m_chanel_1,mean_value_KRA_TMAX_100m_chanel_1,min_value_KRA_TMAX_100m_chanel_2,max_value_KRA_TMAX_100m_chanel_2,mean_value_KRA_TMAX_100m_chanel_2,min_value_KRA_TMAX_100m_chanel_3,max_value_KRA_TMAX_100m_chanel_3,mean_value_KRA_TMAX_100m_chanel_3,min_value_KRA_TMAX_100m_chanel_4,max_value_KRA_TMAX_100m_chanel_4,mean_value_KRA_TMAX_100m_chanel_4,min_value_KRA_TMAX_100m_chanel_5,max_value_KRA_TMAX_100m_chanel_5,mean_value_KRA_TMAX_100m_chanel_5,min_value_KRA_TMAX_100m_chanel_6,max_value_KRA_TMAX_100m_chanel_6,mean_value_KRA_TMAX_100m_chanel_6,min_value_KRA_TMAX_100m_chanel_7,max_value_KRA_TMAX_100m_chanel_7,mean_value_KRA_TMAX_100m_chanel_7,min_value_KRA_TMAX_100m_chanel_8,max_value_KRA_TMAX_100m_chanel_8,mean_value_KRA_TMAX_100m_chanel_8,min_value_KRA_TMAX_100m_chanel_9,max_value_KRA_TMAX_100m_chanel_9,mean_value_KRA_TMAX_100m_chanel_9,min_value_KRA_TMAX_100m_chanel_10,max_value_KRA_TMAX_100m_chanel_10,mean_value_KRA_TMAX_100m_chanel_10,min_value_KRA_TMAX_100m_chanel_11,max_value_KRA_TMAX_100m_chanel_11,mean_value_KRA_TMAX_100m_chanel_11,min_value_KRA_TMIN_100m_chanel_0,max_value_KRA_TMIN_100m_chanel_0,mean_value_KRA_TMIN_100m_chanel_0,min_value_KRA_TMIN_100m_chanel_1,max_value_KRA_TMIN_100m_chanel_1,mean_value_KRA_TMIN_100m_chanel_1,min_value_KRA_TMIN_100m_chanel_2,max_value_KRA_TMIN_100m_chanel_2,mean_value_KRA_TMIN_100m_chanel_2,min_value_KRA_TMIN_100m_chanel_3,max_value_KRA_TMIN_100m_chanel_3,mean_value_KRA_TMIN_100m_chanel_3,min_value_KRA_TMIN_100m_chanel_4,max_value_KRA_TMIN_100m_chanel_4,mean_value_KRA_TMIN_100m_chanel_4,min_value_KRA_TMIN_100m_chanel_5,max_value_KRA_TMIN_100m_chanel_5,mean_value_KRA_TMIN_100m_chanel_5,min_value_KRA_TMIN_100m_chanel_6,max_value_KRA_TMIN_100m_chanel_6,mean_value_KRA_TMIN_100m_chanel_6,min_value_KRA_TMIN_100m_chanel_7,max_value_KRA_TMIN_100m_chanel_7,mean_value_KRA_TMIN_100m_chanel_7,min_value_KRA_TMIN_100m_chanel_8,max_value_KRA_TMIN_100m_chanel_8,mean_value_KRA_TMIN_100m_chanel_8,min_value_KRA_TMIN_100m_chanel_9,max_value_KRA_TMIN_100m_chanel_9,mean_value_KRA_TMIN_100m_chanel_9,min_value_KRA_TMIN_100m_chanel_10,max_value_KRA_TMIN_100m_chanel_10,mean_value_KRA_TMIN_100m_chanel_10,min_value_KRA_TMIN_100m_chanel_11,max_value_KRA_TMIN_100m_chanel_11,mean_value_KRA_TMIN_100m_chanel_11,min_value_KRA_WATER_SEASONALYTY_100m,max_value_KRA_WATER_SEASONALYTY_100m,mean_value_KRA_WATER_SEASONALYTY_100m
0,0,1,39.0,39.0,39.0,33.0,33.0,33.0,32.0,33.0,32.63999938964844,34.0,34.0,34.0,35.0,35.0,35.0,45.0,45.0,45.0,34.0,34.0,34.0,39.0,39.0,39.0,35.0,35.0,35.0,32.0,33.0,32.880001068115234,46.0,46.0,46.0,51.0,51.0,51.0,63.4349479675293,206.56504821777344,156.21449279785156,32.0,41.0,37.0,0.2864765226840973,1.4604451656341553,0.921461284160614,0,3,22,0,0,0,0,0,0,0,0,160.0,160.0,160.0,8.0,8.0,8.0,15.0,15.0,15.0,45.0,45.0,45.0,108.0,108.0,108.0,158.0,158.0,158.0,205.0,205.0,205.0,232.0,233.0,232.8000030517578,227.0,227.0,227.0,179.0,179.0,179.0,121.0,121.0,121.0,68.0,68.0,68.0,32.0,32.0,32.0,35.0,35.0,35.0,78.0,79.0,78.27999877929688,111.0,112.0,111.27999877929688,144.0,145.0,144.27999877929688,197.0,198.0,197.47999572753903,246.0,247.0,246.27999877929688,274.0,275.0,274.9200134277344,270.0,271.0,270.2799987792969,221.0,222.0,221.759994506836,157.0,158.0,157.8800048828125,98.0,98.0,98.0,59.0,59.0,59.0,-19.0,-18.0,-18.280000686645508,-14.0,-13.0,-13.279999732971191,12.0,13.0,12.039999961853027,71.0,72.0,71.08000183105469,117.0,118.0,117.87999725341795,163.0,164.0,163.8800048828125,190.0,191.0,190.9600067138672,184.0,184.0,184.0,135.0,136.0,135.9600067138672,84.0,85.0,84.04000091552734,37.0,37.0,37.0,5.0,5.0,5.0,0.0,0.0,0.0
1,1,2,55.0,57.0,56.50222396850586,44.0,45.0,44.61111068725586,41.0,43.0,41.83333206176758,40.0,42.0,41.35555648803711,47.0,48.0,47.364444732666016,52.0,53.0,52.828887939453125,40.0,41.0,40.82666778564453,43.0,45.0,44.393333435058594,40.0,41.0,40.74666595458984,42.0,44.0,43.02888870239258,59.0,61.0,60.27333450317383,72.0,75.0,73.58222198486328,5.710593223571777,360.0,40.83400344848633,12.0,103.0,39.73555374145508,0.4051356017589569,6.5108323097229,2.263007879257202,1,0,0,76,374,0,0,0,0,0,0,137.0,138.0,137.46888732910156,5.0,6.0,5.491111278533936,10.0,12.0,10.882222175598145,47.0,49.0,48.16444396972656,112.0,115.0,113.19110870361328,157.0,160.0,158.1844482421875,201.0,204.0,202.3177795410156,229.0,232.0,230.38221740722656,222.0,225.0,223.29556274414065,176.0,179.0,177.51333618164062,119.0,121.0,120.23999786376952,62.0,64.0,62.82222366333008,27.0,28.0,27.41111183166504,37.0,38.0,37.377777099609375,90.0,91.0,90.6177749633789,125.0,127.0,125.72222137451172,159.0,162.0,160.36000061035156,204.0,207.0,205.30221557617188,246.0,250.0,248.215560913086,275.0,279.0,276.9822082519531,271.0,275.0,273.09112548828125,227.0,230.0,228.2977752685547,165.0,167.0,166.1155548095703,99.0,100.0,99.46444702148438,60.0,61.0,60.7066650390625,-27.0,-25.0,-26.351110458374023,-26.0,-24.0,-25.017778396606445,5.0,7.0,5.85777759552002,65.0,67.0,66.04222106933594,110.0,112.0,110.98666381835938,155.0,158.0,156.2977752685547,183.0,186.0,184.0800018310547,172.0,175.0,173.60888671875,125.0,128.0,126.60888671875,74.0,76.0,74.5199966430664,25.0,27.0,26.295555114746094,-7.0,-5.0,-6.204444408416748,0.0,0.0,0.0
2,2,3,34.0,35.0,34.75955581665039,30.0,31.0,30.965795516967773,30.0,31.0,30.34004020690918,29.0,30.0,29.9164981842041,29.0,31.0,30.41851043701172,42.0,43.0,42.84004211425781,32.0,33.0,32.19114685058594,36.0,37.0,36.5875244140625,32.0,33.0,32.86418533325195,29.0,31.0,29.899396896362305,40.0,41.0,40.75251388549805,43.0,45.0,44.00301742553711,75.51977645996773,360.0,-46.79045486450195,21.0,57.0,36.39436721801758,0.0,1.5423634052276611,0.7077655792236328,2,0,48,0,0,0,0,946,0,0,0,156.0,157.0,156.84104919433594,6.0,7.0,6.7545270919799805,12.0,15.0,13.638833045959473,41.0,44.0,42.76760482788086,104.0,107.0,105.39537048339844,155.0,157.0,155.85916137695312,202.0,205.0,203.5975799560547,231.0,233.0,231.78672790527344,225.0,227.0,226.241455078125,177.0,179.0,177.61972045898438,119.0,121.0,120.07142639160156,66.0,68.0,67.36921691894531,31.0,33.0,32.01005935668945,35.0,36.0,35.64285659790039,76.0,81.0,78.78873443603516,110.0,115.0,113.0623779296875,144.0,149.0,146.94366455078125,197.0,203.0,200.00100708007807,247.0,251.0,248.824951171875,276.0,279.0,277.72735595703125,270.0,274.0,272.2032165527344,222.0,225.0,223.88229370117188,159.0,161.0,159.93862915039062,98.0,101.0,99.99697875976562,59.0,61.0,60.434608459472656,-23.0,-22.0,-22.17505073547364,-19.0,-17.0,-17.77364158630371,5.0,7.0,6.616700172424316,63.0,65.0,63.95573425292969,111.0,112.0,111.8299789428711,158.0,159.0,158.32595825195312,185.0,186.0,185.8802795410156,180.0,181.0,180.26861572265625,131.0,132.0,131.25453186035156,80.0,81.0,80.19718170166016,34.0,35.0,34.9124755859375,3.0,4.0,3.91549301147461,0.0,0.0,0.0
3,3,4,50.0,55.0,52.7451286315918,40.0,44.0,42.110389709472656,38.0,42.0,39.717533111572266,38.0,41.0,39.66801834106445,43.0,48.0,45.68831253051758,50.0,53.0,51.610389709472656,37.0,40.0,38.59821319580078,42.0,44.0,43.15259552001953,40.0,41.0,40.78084564208984,40.0,43.0,40.7337646484375,56.0,60.0,57.90259552001953,65.0,72.0,68.51298522949219,3.1798300743103027,360.0,66.66857147216797,21.0,116.0,56.33279037475586,0.2864765226840973,7.567618370056152,2.602877616882324,3,0,8,14,968,0,0,242,0,0,0,139.0,145.0,141.64854431152344,4.0,6.0,4.656655788421631,10.0,12.0,10.797078132629396,46.0,48.0,46.53571319580078,110.0,112.0,110.93669128417967,155.0,157.0,156.18911743164062,199.0,203.0,200.7719116210937,227.0,230.0,228.47645568847656,221.0,223.0,221.6477203369141,175.0,177.0,176.08766174316406,118.0,121.0,119.29708099365234,61.0,64.0,62.59009552001953,26.0,28.0,27.150161743164062,32.0,36.0,34.26055145263672,79.0,89.0,83.81087493896484,113.0,124.0,117.87825012207033,146.0,159.0,151.4707794189453,192.0,204.0,196.74107360839844,238.0,246.0,241.12255859375,267.0,275.0,269.8352355957031,262.0,271.0,265.8977355957031,218.0,227.0,221.2865295410156,156.0,165.0,159.46510314941406,93.0,98.0,95.27678680419922,56.0,60.0,57.800323486328125,-28.0,-22.0,-25.08116912841797,-26.0,-18.0,-21.94805145263672,4.0,14.0,9.232142448425291,65.0,76.0,70.4277572631836,110.0,121.0,115.83036041259766,156.0,165.0,160.4375,183.0,191.0,187.10470581054688,173.0,182.0,177.39529418945312,126.0,136.0,130.87744140625,74.0,84.0,79.04383087158203,25.0,34.0,29.764610290527344,-7.0,-1.0,-3.5738637447357178,0.0,0.0,0.0
4,4,5,46.0,47.0,46.33333206176758,38.0,38.0,38.0,36.0,36.0,36.0,38.0,38.0,38.0,41.0,42.0,41.08695602416992,48.0,48.0,48.0,35.0,35.0,35.0,40.0,41.0,40.18840408325195,38.0,39.0,38.76811599731445,36.0,37.0,36.75362396240234,53.0,53.0,53.0,60.0,61.0,60.75362396240234,4.763641834259033,360.0,225.4705810546875,34.0,64.0,48.50724792480469,1.432096242904663,4.04469108581543,2.704613208770752,4,0,0,0,60,0,0,9,0,0,0,154.0,154.0,154.0,6.0,7.0,6.855072498321533,15.0,16.0,15.202898979187012,47.0,48.0,47.49275207519531,110.0,111.0,110.39130401611328,157.0,158.0,157.43478393554688,203.0,204.0,203.59420776367188,232.0,233.0,232.56521606445312,226.0,227.0,226.797103881836,178.0,179.0,178.9130401611328,120.0,121.0,120.81159210205078,65.0,66.0,65.91304016113281,29.0,30.0,29.768115997314453,35.0,35.0,35.0,84.0,85.0,84.8840560913086,118.0,119.0,118.8840560913086,152.0,153.0,152.59420776367188,201.0,203.0,201.89854431152344,248.0,249.0,248.36231994628903,278.0,279.0,278.8695678710937,276.0,276.0,276.0,227.0,228.0,227.8695678710937,163.0,164.0,163.47825622558594,100.0,101.0,100.72463989257812,59.0,59.0,59.0,-22.0,-21.0,-21.231884002685547,-18.0,-17.0,-17.144927978515625,9.0,10.0,9.811594009399414,68.0,69.0,68.24637603759766,113.0,114.0,113.4202880859375,159.0,160.0,159.4202880859375,185.0,186.0,185.8115997314453,177.0,178.0,177.4202880859375,130.0,131.0,130.4202880859375,78.0,79.0,78.73912811279297,31.0,32.0,31.85507202148437,-1.0,0.0,-0.1449275314807891,0.0,0.0,0.0
5,5,6,46.0,47.0,46.19923400878906,38.0,38.0,38.0,35.0,36.0,35.99233627319336,38.0,38.0,38.0,40.0,41.0,40.47509765625,47.0,48.0,47.09578704833984,34.0,35.0,34.94636154174805,40.0,41.0,40.35248947143555,38.0,39.0,38.950191497802734,37.0,38.0,37.00382995605469,53.0,53.0,53.0,60.0,61.0,60.20306396484375,135.0,270.0,188.00762939453125,23.0,76.0,48.54022979736328,0.8102306723594666,3.199601411819458,1.4142132997512815,5,0,114,0,3,0,0,144,0,0,0,155.0,156.0,155.15708923339844,7.0,8.0,7.574712753295898,15.0,16.0,15.532567024230955,46.0,48.0,47.11111068725586,109.0,110.0,109.3563232421875,156.0,157.0,156.3563232421875,203.0,203.0,203.0,232.0,233.0,232.337158203125,226.0,227.0,226.55938720703125,178.0,180.0,178.72413635253906,120.0,122.0,120.63218688964844,66.0,67.0,66.5823745727539,29.0,31.0,29.597702026367188,35.0,37.0,35.593868255615234,82.0,84.0,83.54405975341797,115.0,118.0,117.04214477539062,148.0,151.0,150.01914978027344,197.0,200.0,198.8275909423828,245.0,247.0,246.3524932861328,276.0,279.0,277.9770202636719,274.0,277.0,275.89654541015625,226.0,228.0,227.0536346435547,161.0,164.0,162.70498657226562,99.0,101.0,100.32183837890624,58.0,60.0,59.31800842285156,-22.0,-20.0,-21.195402145385746,-17.0,-15.0,-16.199234008789062,9.0,13.0,10.762452125549316,68.0,71.0,68.90038299560547,113.0,116.0,113.86206817626952,158.0,162.0,159.77011108398438,185.0,188.0,186.237548828125,177.0,180.0,177.85057067871094,130.0,133.0,130.85440063476562,78.0,81.0,78.9501953125,32.0,35.0,32.84674453735352,-1.0,2.0,0.2758620679378509,0.0,0.0,0.0
6,6,7,48.0,48.0,48.0,39.0,39.0,39.0,37.0,37.0,37.0,38.0,39.0,38.83333206176758,42.0,42.0,42.0,48.0,49.0,48.83333206176758,35.0,35.0,35.0,41.0,41.0,41.0,41.0,41.0,41.0,38.0,39.0,38.61111068725586,55.0,55.0,55.0,62.0,63.0,62.72222137451172,81.8698959350586,195.255111694336,156.6719970703125,36.0,60.0,52.33333206176758,2.0248682498931885,9.989562034606934,4.919438362121582,6,0,0,0,18,0,0,0,0,0,0,152.0,152.0,152.0,8.0,9.0,8.44444465637207,17.0,17.0,17.0,49.0,50.0,49.33333206176758,111.0,112.0,111.38888549804688,157.0,158.0,157.38888549804688,204.0,204.0,204.0,233.0,233.0,233.0,227.0,228.0,227.11111450195312,180.0,181.0,180.11111450195312,122.0,123.0,122.11111450195312,67.0,68.0,67.88888549804688,31.0,32.0,31.27777862548828,38.0,39.0,38.27777862548828,88.0,89.0,88.11111450195312,121.0,122.0,121.11111450195312,154.0,154.0,154.0,202.0,202.0,202.0,248.0,249.0,248.22222900390625,280.0,281.0,280.1111145019531,278.0,279.0,278.4444580078125,230.0,231.0,230.88888549804688,166.0,166.0,166.0,103.0,104.0,103.33333587646484,62.0,62.0,62.0,-21.0,-21.0,-21.0,-17.0,-17.0,-17.0,10.0,11.0,10.88888931274414,69.0,70.0,69.05555725097656,113.0,114.0,113.33333587646484,159.0,160.0,159.05555725097656,185.0,186.0,185.38888549804688,176.0,177.0,176.11111450195312,130.0,130.0,130.0,78.0,79.0,78.11111450195312,32.0,32.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0
7,7,8,43.0,44.0,43.98894882202149,36.0,37.0,36.75690460205078,35.0,35.0,35.0,36.0,37.0,36.930938720703125,38.0,40.0,38.52486038208008,46.0,47.0,46.27900695800781,33.0,34.0,33.99723815917969,40.0,40.0,40.0,38.0,39.0,38.11602020263672,36.0,37.0,36.13536071777344,50.0,51.0,50.96961212158203,57.0,58.0,57.26519393920898,6.340191841125488,360.0,150.7379608154297,26.0,54.0,38.01381301879883,0.2864765226840973,6.854530334472656,1.4566771984100342,7,6,235,0,0,0,0,121,0,0,0,158.0,159.0,158.2209930419922,7.0,10.0,8.361878395080566,14.0,16.0,14.690608024597168,46.0,47.0,46.13259506225586,108.0,109.0,108.3729248046875,155.0,157.0,155.83978271484375,202.0,204.0,202.46961975097656,229.0,232.0,230.1436462402344,224.0,226.0,224.5414428710937,178.0,179.0,178.06629943847656,121.0,122.0,121.13536071777344,67.0,69.0,67.53038787841797,30.0,32.0,30.69060707092285,33.0,34.0,33.12154769897461,74.0,80.0,76.1657485961914,106.0,113.0,108.67679595947266,138.0,146.0,140.8287353515625,187.0,195.0,190.3011016845703,236.0,243.0,238.7237548828125,265.0,273.0,268.22100830078125,262.0,270.0,264.859130859375,215.0,222.0,217.762435913086,153.0,159.0,155.41436767578125,95.0,98.0,96.26519012451172,56.0,57.0,56.3812141418457,-18.0,-15.0,-16.546960830688477,-14.0,-9.0,-11.39778995513916,13.0,19.0,16.201658248901367,73.0,79.0,76.01380920410156,118.0,125.0,121.51657104492188,164.0,170.0,166.53591918945312,190.0,195.0,192.0027618408203,182.0,187.0,184.4364624023437,136.0,142.0,138.4502716064453,84.0,90.0,86.82320404052734,36.0,41.0,38.66022109985352,4.0,7.0,5.29557991027832,0.0,0.0,0.0
8,8,9,44.0,45.0,44.96875,37.0,38.0,37.45000076293945,35.0,36.0,35.35625076293945,36.0,38.0,37.09375,38.0,39.0,38.625,46.0,47.0,46.46875,34.0,35.0,34.54999923706055,40.0,40.0,40.0,38.0,39.0,38.21875,36.0,37.0,36.9375,51.0,53.0,51.91875076293945,58.0,59.0,58.75624847412109,75.51977645996773,360.0,-1675.609375,29.0,49.0,40.25624847412109,0.0,2.592406272888184,1.1539790630340576,8,2,24,0,0,7,0,127,0,0,0,156.0,158.0,156.7687530517578,7.0,8.0,7.974999904632568,15.0,15.0,15.0,46.0,47.0,46.625,108.0,109.0,108.8187484741211,155.0,156.0,155.81875610351562,202.0,203.0,202.3625030517578,230.0,231.0,230.4312438964844,224.0,226.0,225.0812530517578,178.0,179.0,178.125,121.0,121.0,121.0,67.0,68.0,67.125,30.0,31.0,30.106250762939453,34.0,35.0,34.431251525878906,77.0,80.0,78.8062515258789,109.0,113.0,111.5999984741211,141.0,146.0,143.84375,190.0,195.0,192.90625,238.0,243.0,240.8687438964844,268.0,274.0,271.21875,266.0,271.0,268.32501220703125,218.0,223.0,220.75,156.0,160.0,158.1687469482422,97.0,99.0,98.0250015258789,57.0,58.0,57.21875,-20.0,-17.0,-18.262500762939453,-15.0,-12.0,-13.225000381469728,13.0,16.0,14.550000190734863,72.0,76.0,73.6312484741211,117.0,121.0,118.6687469482422,162.0,166.0,164.00625610351562,188.0,191.0,189.78125,180.0,184.0,181.7437438964844,134.0,138.0,135.63125610351562,82.0,86.0,83.78125,35.0,38.0,36.650001525878906,2.0,5.0,3.212500095367432,0.0,0.0,0.0
9,9,10,44.0,45.0,44.9251708984375,36.0,37.0,36.81632614135742,35.0,36.0,35.761905670166016,36.0,37.0,36.020408630371094,39.0,39.0,39.0,47.0,47.0,47.0,34.0,35.0,34.8027229309082,40.0,40.0,40.0,38.0,39.0,38.06122589111328,36.0,37.0,36.06802749633789,51.0,51.0,51.0,58.0,58.0,58.0,5.710593223571777,360.0,173.203369140625,22.0,65.0,45.49659729003906,0.4051356017589569,5.1506524085998535,1.8431240320205688,9,0,22,0,10,0,0,115,0,0,0,155.0,156.0,155.17007446289062,5.0,7.0,5.7482991218566895,12.0,14.0,12.816326141357422,45.0,46.0,45.26530456542969,108.0,110.0,108.7959213256836,155.0,157.0,155.76190185546875,201.0,202.0,201.2040863037109,228.0,229.0,228.2040863037109,221.0,223.0,221.99319458007807,175.0,177.0,176.14285278320312,119.0,120.0,119.12245178222656,64.0,66.0,64.85713958740234,28.0,30.0,28.850339889526367,32.0,34.0,32.8775520324707,78.0,80.0,78.70748138427734,111.0,113.0,111.70748138427734,143.0,146.0,144.00680541992188,192.0,196.0,193.68707275390625,239.0,242.0,239.9727935791016,267.0,271.0,268.7755126953125,263.0,267.0,264.7414855957031,218.0,221.0,218.8095245361328,156.0,159.0,157.17007446289062,96.0,98.0,96.36054229736328,56.0,58.0,56.76870727539063,-22.0,-21.0,-21.86394500732422,-17.0,-15.0,-16.360544204711914,12.0,13.0,12.2380952835083,73.0,74.0,73.31292724609375,117.0,119.0,117.83673095703124,162.0,163.0,162.14285278320312,187.0,188.0,187.57823181152344,178.0,180.0,178.8911590576172,132.0,134.0,132.87754821777344,80.0,82.0,80.82312774658203,33.0,34.0,33.21768569946289,0.0,1.0,0.8027210831642151,0.0,0.0,0.0
